Index,Id,Class,Name,Unknown,Gender,Level,Unknown,Unknown,Brand,Unknown,Payment,Exchange,Cash 7,Cash 30,Cash Perm,Points 7,Points 30,Points Perm,Unknown,Icon Path,NifFile1,NifFile2,NifFile3,NifFile4,NifFile5,Description
0,1001010,100,Male A,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body101_0,-,-,-,-,,
1,1001020,100,Male B,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body102_0,-,-,-,-,,
2,1001030,100,Male C,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body103_0,-,-,-,-,,
3,1001040,100,Male D,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body104_0,-,-,-,-,,
4,1001050,100,Male E,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body105_0,-,-,-,-,,
5,1001060,100,Male F,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body106_0,-,-,-,-,,
6,1002010,100,Male G,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body201_0,-,-,-,-,,
7,1002020,100,Male H,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body202_0,-,-,-,-,,
8,1002030,100,Male I,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body203_0,-,-,-,-,,
9,1003010,100,Male L,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body301_0,-,-,-,-,,
10,1003020,100,Male M,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body302_0,-,-,-,-,,
11,1003030,100,Male N,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body303_0,-,-,-,-,,
12,1003040,100,Male O,0,1,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body304_0,-,-,-,-,,
13,1004010,100,Female A,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body401_0,-,-,-,-,,
14,1004020,100,Female B,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body402_0,-,-,-,-,,
15,1004030,100,Female C,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body403_0,-,-,-,-,,
16,1004040,100,Female D,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body404_0,-,-,-,-,,
17,1004050,100,Female A,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body405_0,-,-,-,-,,
18,1004060,100,Female B,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body406_0,-,-,-,-,,
19,1004070,100,Female C,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body407_0,-,-,-,-,,
20,1004080,100,Female D,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body408_0,-,-,-,-,,
21,1004090,100,Female A,0,2,0,0,0,0,0,3,512,118,236,471,2500,5000,10000,0,Item/Body409_0,-,-,-,-,,
22,1010010,101,Black,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Item/Head001_0,Shape1_Head001_0,Shape1_Head001_0,Shape1_Head001_0,Shape4_Head001_0,,
23,1010011,101,Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Item/Head001_1,Shape1_Head001_1,Shape1_Head001_1,Shape1_Head001_1,Shape4_Head001_1,,
24,1010012,101,Dyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Item/Head001_2,Shape1_Head001_2,Shape1_Head001_2,Shape1_Head001_2,Shape4_Head001_2,,
25,1011000,101,Bald,0,1,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head100_0,Shape1_Head100_0,Shape1_Head100_0,Shape1_Head100_0,Shape4_Head100_0,,
26,1011010,101,Emo hair black,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head101_0,Shape1_Head101_0,Shape1_Head101_0,Shape1_Head101_0,Shape4_Head101_0,,
27,1011011,101,Emo hair red,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head101_1,Shape1_Head101_1,Shape1_Head101_1,Shape1_Head101_1,Shape4_Head101_1,,
28,1011012,101,Emo hair blonde,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head101_2,Shape1_Head101_2,Shape1_Head101_2,Shape1_Head101_2,Shape4_Head101_2,,
29,1011020,101,Blue with hairband,0,0,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head102_0,Shape1_Head102_0,Shape1_Head102_0,Shape1_Head102_0,Shape4_Head102_0,,
30,1011021,101,Black with hairband,0,0,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head102_1,Shape1_Head102_1,Shape1_Head102_1,Shape1_Head102_1,Shape4_Head102_1,,
31,1011022,101,Blonde with hairband ,0,0,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head102_2,Shape1_Head102_2,Shape1_Head102_2,Shape1_Head102_2,Shape4_Head102_2,,
32,1011030,101,Black with beanie hat,0,1,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head103_0,Shape1_Head103_0,Shape1_Head103_0,Shape1_Head103_0,Shape4_Head103_0,,
33,1011031,101,Brown with beanie hat,0,1,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head103_1,Shape1_Head103_1,Shape1_Head103_1,Shape1_Head103_1,Shape4_Head103_1,,
34,1011032,101,Blonde with beanie hat,0,1,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head103_2,Shape1_Head103_2,Shape1_Head103_2,Shape1_Head103_2,Shape4_Head103_2,,
35,1011040,101,Fringe hair black,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head104_0,Shape1_Head104_0,Shape1_Head104_0,Shape1_Head104_0,Shape4_Head104_0,,
36,1011041,101,Fringe hair white,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head104_1,Shape1_Head104_1,Shape1_Head104_1,Shape1_Head104_1,Shape4_Head104_1,,
37,1011042,101,Fringe hair blue,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head104_2,Shape1_Head104_2,Shape1_Head104_2,Shape1_Head104_2,Shape4_Head104_2,,
38,1011043,101,Fringe hair red,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head104_3,Shape1_Head104_3,Shape1_Head104_3,Shape1_Head104_3,Shape4_Head104_3,,
39,1011044,101,Fringe hair brown,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head104_4,Shape1_Head104_4,Shape1_Head104_4,Shape1_Head104_4,Shape4_Head104_4,,
40,1011050,101,Beckham hair blonde,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head105_0,Shape1_Head105_0,Shape1_Head105_0,Shape1_Head105_0,Shape4_Head105_0,,
41,1011051,101,Beckham hair red,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head105_1,Shape1_Head105_1,Shape1_Head105_1,Shape1_Head105_1,Shape4_Head105_1,,
42,1011052,101,Beckham hair blue,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head105_2,Shape1_Head105_2,Shape1_Head105_2,Shape1_Head105_2,Shape4_Head105_2,,
43,1011053,101,Beckham hair black ,0,1,0,0,0,0,0,3,1,71,142,283,1500,3000,6000,10100,Item/Head105_3,Shape1_Head105_3,Shape1_Head105_3,Shape1_Head105_3,Shape4_Head105_3,,
44,1011060,101,Long hair brown,0,0,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head106_0,Shape1_Head106_0,Shape1_Head106_0,Shape1_Head106_0,Shape4_Head106_0,,
45,1011061,101,Long hair red,0,0,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head106_1,Shape1_Head106_1,Shape1_Head106_1,Shape1_Head106_1,Shape4_Head106_1,,
46,1011062,101,Long hair black,0,0,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head106_2,Shape1_Head106_2,Shape1_Head106_2,Shape1_Head106_2,Shape4_Head106_2,,
47,1011063,101,Long hair blue,0,0,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head106_3,Shape1_Head106_3,Shape1_Head106_3,Shape1_Head106_3,Shape4_Head106_3,,
48,1011070,101,Zidane hair black,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head107_0,Shape1_Head107_0,Shape1_Head107_0,Shape1_Head107_0,Shape4_Head107_0,,
49,1011071,101,Zidane hair grey,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head107_1,Shape1_Head107_1,Shape1_Head107_1,Shape1_Head107_1,Shape4_Head107_1,,
50,1011072,101,Zidane hair brown,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head107_2,Shape1_Head107_2,Shape1_Head107_2,Shape1_Head107_2,Shape4_Head107_2,,
51,1011080,101,Ronaldo hair black,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head108_0,Shape1_Head108_0,Shape1_Head108_0,Shape1_Head108_0,Shape4_Head108_0,,
52,1011081,101,Ronaldo hair lightbrown,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head108_1,Shape1_Head108_1,Shape1_Head108_1,Shape1_Head108_1,Shape4_Head108_1,,
53,1011082,101,Ronaldo hair brown,0,1,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head108_2,Shape1_Head108_2,Shape1_Head108_2,Shape1_Head108_2,Shape4_Head108_2,,
54,1011090,101,red with baseball cap,0,0,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head109_0,Shape1_Head109_0,Shape1_Head109_0,Shape1_Head109_0,Shape4_Head109_0,,
55,1011091,101,blue with baseball cap,0,0,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head109_1,Shape1_Head109_1,Shape1_Head109_1,Shape1_Head109_1,Shape4_Head109_1,,
56,1011092,101,black with baseball cap,0,0,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head109_2,Shape1_Head109_2,Shape1_Head109_2,Shape1_Head109_2,Shape4_Head109_2,,
57,1011100,101,Afro hair brown,0,0,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head110_0,Shape1_Head110_0,Shape1_Head110_0,Shape1_Head110_0,Shape4_Head110_0,,
58,1011101,101,Afro hair black,0,0,0,0,0,0,0,3,1,47,94,189,1000,2000,4000,10100,Item/Head110_1,Shape1_Head110_1,Shape1_Head110_1,Shape1_Head110_1,Shape4_Head110_1,,
59,1011110,101,Fisherman hat beige,0,1,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head111_0,Shape1_Head111_0,Shape1_Head111_0,Shape1_Head111_0,Shape4_Head111_0,,
60,1011111,101,Fisherman hat grey,0,1,0,0,0,0,0,3,1,59,118,236,1250,2500,5000,10100,Item/Head111_1,Shape1_Head111_1,Shape1_Head111_1,Shape1_Head111_1,Shape4_Head111_1,,
